Notes,Year,Year Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Race,Race Code,Deaths,Population
,2016,2016,< 1 year,1,Female,F,Black or African American,2054-5,3287,333403
,2016,2016,< 1 year,1,Female,F,White,2106-3,6425,1445970
Total,2016,2016,< 1 year,1,Female,F,,,10294,1939667
,2016,2016,< 1 year,1,Male,M,American Indian or Alaska Native,1002-5,206,39291
,2016,2016,< 1 year,1,Male,M,Asian or Pacific Islander,A-PI,576,128228
,2016,2016,< 1 year,1,Male,M,Black or African American,2054-5,3942,347670
,2016,2016,< 1 year,1,Male,M,White,2106-3,8143,1515289
Total,2016,2016,< 1 year,1,Male,M,,,12867,2030478
Total,2016,2016,< 1 year,1,,,,,23161,3970145
,2016,2016,1-4 years,4-Jan,Female,F,American Indian or Alaska Native,1002-5,48,151952
,2016,2016,1-4 years,4-Jan,Female,F,Asian or Pacific Islander,A-PI,85,502776
,2016,2016,1-4 years,4-Jan,Female,F,Black or African American,2054-5,456,1340430
,2016,2016,1-4 years,4-Jan,Female,F,White,2106-3,1200,5805359
Total,2016,2016,1-4 years,4-Jan,Female,F,,,1789,7800517
,2016,2016,1-4 years,4-Jan,Male,M,American Indian or Alaska Native,1002-5,46,156395
,2016,2016,1-4 years,4-Jan,Male,M,Asian or Pacific Islander,A-PI,85,528123
,2016,2016,1-4 years,4-Jan,Male,M,Black or African American,2054-5,602,1387887
,2016,2016,1-4 years,4-Jan,Male,M,White,2106-3,1523,6083970
Total,2016,2016,1-4 years,4-Jan,Male,M,,,2256,8156375
Total,2016,2016,1-4 years,4-Jan,,,,,4045,15956892
,2016,2016,5-14 years,14-May,Female,F,American Indian or Alaska Native,1002-5,46,380042
,2016,2016,5-14 years,14-May,Female,F,Asian or Pacific Islander,A-PI,111,1267905
,2016,2016,5-14 years,14-May,Female,F,Black or African American,2054-5,548,3353568
,2016,2016,5-14 years,14-May,Female,F,White,2106-3,1657,15097862
Total,2016,2016,5-14 years,14-May,Female,F,,,2362,20099377
,2016,2016,5-14 years,14-May,Male,M,American Indian or Alaska Native,1002-5,58,390195
,2016,2016,5-14 years,14-May,Male,M,Asian or Pacific Islander,A-PI,125,1300632
,2016,2016,5-14 years,14-May,Male,M,Black or African American,2054-5,733,3460828
,2016,2016,5-14 years,14-May,Male,M,White,2106-3,2225,15797000
Total,2016,2016,5-14 years,14-May,Male,M,,,3141,20948655
Total,2016,2016,5-14 years,14-May,,,,,5503,41048032
,2016,2016,15-24 years,15-24,Female,F,American Indian or Alaska Native,1002-5,202,374352
,2016,2016,15-24 years,15-24,Female,F,Asian or Pacific Islander,A-PI,291,1370410
,2016,2016,15-24 years,15-24,Female,F,Black or African American,2054-5,1836,3560736
,2016,2016,15-24 years,15-24,Female,F,White,2106-3,6233,15912618
Total,2016,2016,15-24 years,15-24,Female,F,,,8562,21218116
,2016,2016,15-24 years,15-24,Male,M,American Indian or Alaska Native,1002-5,449,389861
,2016,2016,15-24 years,15-24,Male,M,Asian or Pacific Islander,A-PI,734,1408047
,2016,2016,15-24 years,15-24,Male,M,Black or African American,2054-5,6056,3688506
,2016,2016,15-24 years,15-24,Male,M,White,2106-3,16774,16806497
Total,2016,2016,15-24 years,15-24,Male,M,,,24013,22292911
Total,2016,2016,15-24 years,15-24,,,,,32575,43511027
,2016,2016,25-34 years,25-34,Female,F,American Indian or Alaska Native,1002-5,410,346167
,2016,2016,25-34 years,25-34,Female,F,Asian or Pacific Islander,A-PI,486,1798927
,2016,2016,25-34 years,25-34,Female,F,Black or African American,2054-5,3481,3466922
,2016,2016,25-34 years,25-34,Female,F,White,2106-3,12982,16465489
Total,2016,2016,25-34 years,25-34,Female,F,,,17359,22077505
,2016,2016,25-34 years,25-34,Male,M,American Indian or Alaska Native,1002-5,804,374596
,2016,2016,25-34 years,25-34,Male,M,Asian or Pacific Islander,A-PI,992,1700132
,2016,2016,25-34 years,25-34,Male,M,Black or African American,2054-5,8299,3338882
,2016,2016,25-34 years,25-34,Male,M,White,2106-3,30162,17186128
Total,2016,2016,25-34 years,25-34,Male,M,,,40257,22599738
Total,2016,2016,25-34 years,25-34,,,,,57616,44677243
,2016,2016,35-44 years,35-44,Female,F,American Indian or Alaska Native,1002-5,535,297098
,2016,2016,35-44 years,35-44,Female,F,Asian or Pacific Islander,A-PI,904,1697830
,2016,2016,35-44 years,35-44,Female,F,Black or African American,2054-5,5971,3017848
,2016,2016,35-44 years,35-44,Female,F,White,2106-3,21167,15304617
Total,2016,2016,35-44 years,35-44,Female,F,,,28577,20317393
,2016,2016,35-44 years,35-44,Male,M,American Indian or Alaska Native,1002-5,882,309569
,2016,2016,35-44 years,35-44,Male,M,Asian or Pacific Islander,A-PI,1482,1504147
,2016,2016,35-44 years,35-44,Male,M,Black or African American,2054-5,9466,2702577
,2016,2016,35-44 years,35-44,Male,M,White,2106-3,37385,15636470
Total,2016,2016,35-44 years,35-44,Male,M,,,49215,20152763
Total,2016,2016,35-44 years,35-44,,,,,77792,40470156
,2016,2016,45-54 years,45-54,Female,F,American Indian or Alaska Native,1002-5,979,277646
,2016,2016,45-54 years,45-54,Female,F,Asian or Pacific Islander,A-PI,1826,1446459
,2016,2016,45-54 years,45-54,Female,F,Black or African American,2054-5,13763,3018481
,2016,2016,45-54 years,45-54,Female,F,White,2106-3,51862,16937954
Total,2016,2016,45-54 years,45-54,Female,F,,,68430,21680540
,2016,2016,45-54 years,45-54,Male,M,American Indian or Alaska Native,1002-5,1455,277098
,2016,2016,45-54 years,45-54,Male,M,Asian or Pacific Islander,A-PI,2683,1272640
,2016,2016,45-54 years,45-54,Male,M,Black or African American,2054-5,18343,2666665
,2016,2016,45-54 years,45-54,Male,M,White,2106-3,82605,16889736
Total,2016,2016,45-54 years,45-54,Male,M,,,105086,21106139
Total,2016,2016,45-54 years,45-54,,,,,173516,42786679
,2016,2016,55-64 years,55-64,Female,F,American Indian or Alaska Native,1002-5,1446,235033
,2016,2016,55-64 years,55-64,Female,F,Asian or Pacific Islander,A-PI,3581,1178042
,2016,2016,55-64 years,55-64,Female,F,Black or African American,2054-5,26608,2712845
,2016,2016,55-64 years,55-64,Female,F,White,2106-3,112426,17338186
Total,2016,2016,55-64 years,55-64,Female,F,,,144061,21464106
,2016,2016,55-64 years,55-64,Male,M,American Indian or Alaska Native,1002-5,2195,216738
,2016,2016,55-64 years,55-64,Male,M,Asian or Pacific Islander,A-PI,5140,985505
,2016,2016,55-64 years,55-64,Male,M,Black or African American,2054-5,37088,2284809
,2016,2016,55-64 years,55-64,Male,M,White,2106-3,177961,16511986
Total,2016,2016,55-64 years,55-64,Male,M,,,222384,19999038
Total,2016,2016,55-64 years,55-64,,,,,366445,41463144
,2016,2016,65-74 years,65-74,Female,F,American Indian or Alaska Native,1002-5,1654,129801
,2016,2016,65-74 years,65-74,Female,F,Asian or Pacific Islander,A-PI,5342,764332
,2016,2016,65-74 years,65-74,Female,F,Black or African American,2054-5,30659,1626680
,2016,2016,65-74 years,65-74,Female,F,White,2106-3,181683,12718408
Total,2016,2016,65-74 years,65-74,Female,F,,,219338,15239221
,2016,2016,65-74 years,65-74,Male,M,American Indian or Alaska Native,1002-5,2148,114778
,2016,2016,65-74 years,65-74,Male,M,Asian or Pacific Islander,A-PI,6940,612074
,2016,2016,65-74 years,65-74,Male,M,Black or African American,2054-5,37839,1228135
,2016,2016,65-74 years,65-74,Male,M,White,2106-3,245815,11436122
Total,2016,2016,65-74 years,65-74,Male,M,,,292742,13391109
Total,2016,2016,65-74 years,65-74,,,,,512080,28630330
,2016,2016,75-84 years,75-84,Female,F,American Indian or Alaska Native,1002-5,1780,55662
,2016,2016,75-84 years,75-84,Female,F,Asian or Pacific Islander,A-PI,8018,365597
,2016,2016,75-84 years,75-84,Female,F,Black or African American,2054-5,33761,785828
,2016,2016,75-84 years,75-84,Female,F,White,2106-3,268538,6849573
Total,2016,2016,75-84 years,75-84,Female,F,,,312097,8056660
,2016,2016,75-84 years,75-84,Male,M,American Indian or Alaska Native,1002-5,1705,42459
,2016,2016,75-84 years,75-84,Male,M,Asian or Pacific Islander,A-PI,8481,280882
,2016,2016,75-84 years,75-84,Male,M,Black or African American,2054-5,30097,490623
,2016,2016,75-84 years,75-84,Male,M,White,2106-3,284536,5362910
Total,2016,2016,75-84 years,75-84,Male,M,,,324819,6176874
Total,2016,2016,75-84 years,75-84,,,,,636916,14233534
,2016,2016,85+ years,85+,Female,F,American Indian or Alaska Native,1002-5,1522,21195
,2016,2016,85+ years,85+,Female,F,Asian or Pacific Islander,A-PI,12890,159716
,2016,2016,85+ years,85+,Female,F,Black or African American,2054-5,39739,346391
,2016,2016,85+ years,85+,Female,F,White,2106-3,476956,3628186
Total,2016,2016,85+ years,85+,Female,F,,,531107,4155488
,2016,2016,85+ years,85+,Male,M,American Indian or Alaska Native,1002-5,995,12059
,2016,2016,85+ years,85+,Male,M,Asian or Pacific Islander,A-PI,8439,92994
,2016,2016,85+ years,85+,Male,M,Black or African American,2054-5,19192,147306
,2016,2016,85+ years,85+,Male,M,White,2106-3,294729,1972484
Total,2016,2016,85+ years,85+,Male,M,,,323355,2224843
Total,2016,2016,85+ years,85+,,,,,854462,6380331
,2016,2016,Not Stated,NS,Female,F,Asian or Pacific Islander,A-PI,1,Not Applicable
,2016,2016,Not Stated,NS,Female,F,Black or African American,2054-5,5,Not Applicable
,2016,2016,Not Stated,NS,Female,F,White,2106-3,34,Not Applicable
Total,2016,2016,Not Stated,NS,Female,F,,,40,Not Applicable
,2016,2016,Not Stated,NS,Male,M,American Indian or Alaska Native,1002-5,2,Not Applicable
,2016,2016,Not Stated,NS,Male,M,Asian or Pacific Islander,A-PI,5,Not Applicable
,2016,2016,Not Stated,NS,Male,M,Black or African American,2054-5,17,Not Applicable
,2016,2016,Not Stated,NS,Male,M,White,2106-3,73,Not Applicable
Total,2016,2016,Not Stated,NS,Male,M,,,97,Not Applicable
Total,2016,2016,Not Stated,NS,,,,,137,Not Applicable
Total,2016,2016,,,,,,,2744248,323127513
,2017,2017,< 1 year,1,Female,F,American Indian or Alaska Native,1002-5,150,37522
,2017,2017,< 1 year,1,Female,F,Asian or Pacific Islander,A-PI,466,119599
,2017,2017,< 1 year,1,Female,F,Black or African American,2054-5,3128,330757
,2017,2017,< 1 year,1,Female,F,White,2106-3,6123,1436267
Total,2017,2017,< 1 year,1,Female,F,,,9867,1924145
,2017,2017,< 1 year,1,Male,M,American Indian or Alaska Native,1002-5,186,38829
,2017,2017,< 1 year,1,Male,M,Asian or Pacific Islander,A-PI,567,125811
,2017,2017,< 1 year,1,Male,M,Black or African American,2054-5,3971,345325
,2017,2017,< 1 year,1,Male,M,White,2106-3,7744,1505185
Total,2017,2017,< 1 year,1,Male,M,,,12468,2015150
Total,2017,2017,< 1 year,1,,,,,22335,3939295
,2017,2017,1-4 years,4-Jan,Female,F,American Indian or Alaska Native,1002-5,42,151110
,2017,2017,1-4 years,4-Jan,Female,F,Asian or Pacific Islander,A-PI,57,507461
,2017,2017,1-4 years,4-Jan,Female,F,Black or African American,2054-5,471,1344949
,2017,2017,1-4 years,4-Jan,Female,F,White,2106-3,1078,5815227
Total,2017,2017,1-4 years,4-Jan,Female,F,,,1648,7818747
,2017,2017,1-4 years,4-Jan,Male,M,American Indian or Alaska Native,1002-5,37,155716
,2017,2017,1-4 years,4-Jan,Male,M,Asian or Pacific Islander,A-PI,104,535993
,2017,2017,1-4 years,4-Jan,Male,M,Black or African American,2054-5,558,1390844
,2017,2017,1-4 years,4-Jan,Male,M,White,2106-3,1533,6098265
Total,2017,2017,1-4 years,4-Jan,Male,M,,,2232,8180818
Total,2017,2017,1-4 years,4-Jan,,,,,3880,15999565
,2017,2017,5-14 years,14-May,Female,F,American Indian or Alaska Native,1002-5,50,381535
,2017,2017,5-14 years,14-May,Female,F,Asian or Pacific Islander,A-PI,102,1287869
,2017,2017,5-14 years,14-May,Female,F,Black or African American,2054-5,537,3369809
,2017,2017,5-14 years,14-May,Female,F,White,2106-3,1613,15070266
Total,2017,2017,5-14 years,14-May,Female,F,,,2302,20109479
,2017,2017,5-14 years,14-May,Male,M,American Indian or Alaska Native,1002-5,63,392316
,2017,2017,5-14 years,14-May,Male,M,Asian or Pacific Islander,A-PI,124,1324939
,2017,2017,5-14 years,14-May,Male,M,Black or African American,2054-5,806,3477272
,2017,2017,5-14 years,14-May,Male,M,White,2106-3,2276,15778686
Total,2017,2017,5-14 years,14-May,Male,M,,,3269,20973213
Total,2017,2017,5-14 years,14-May,,,,,5571,41082692
,2017,2017,15-24 years,15-24,Female,F,American Indian or Alaska Native,1002-5,179,372983
,2017,2017,15-24 years,15-24,Female,F,Asian or Pacific Islander,A-PI,307,1403703
,2017,2017,15-24 years,15-24,Female,F,Black or African American,2054-5,1697,3522453
,2017,2017,15-24 years,15-24,Female,F,White,2106-3,6339,15801523
Total,2017,2017,15-24 years,15-24,Female,F,,,8522,21100662
,2017,2017,15-24 years,15-24,Male,M,American Indian or Alaska Native,1002-5,441,385769
,2017,2017,15-24 years,15-24,Male,M,Asian or Pacific Islander,A-PI,705,1434115
,2017,2017,15-24 years,15-24,Male,M,Black or African American,2054-5,5857,3646613
,2017,2017,15-24 years,15-24,Male,M,White,2106-3,16500,16683136
Total,2017,2017,15-24 years,15-24,Male,M,,,23503,22149633
Total,2017,2017,15-24 years,15-24,,,,,32025,43250295
,2017,2017,25-34 years,25-34,Female,F,American Indian or Alaska Native,1002-5,446,353542
,2017,2017,25-34 years,25-34,Female,F,Asian or Pacific Islander,A-PI,507,1860938
,2017,2017,25-34 years,25-34,Female,F,Black or African American,2054-5,3604,3560406
,2017,2017,25-34 years,25-34,Female,F,White,2106-3,13509,16576425
Total,2017,2017,25-34 years,25-34,Female,F,,,18066,22351311
,2017,2017,25-34 years,25-34,Male,M,American Indian or Alaska Native,1002-5,831,383036
,2017,2017,25-34 years,25-34,Male,M,Asian or Pacific Islander,A-PI,1063,1773832
,2017,2017,25-34 years,25-34,Male,M,Black or African American,2054-5,8766,3465087
,2017,2017,25-34 years,25-34,Male,M,White,2106-3,31489,17369406
Total,2017,2017,25-34 years,25-34,Male,M,,,42149,22991361
Total,2017,2017,25-34 years,25-34,,,,,60215,45342672
,2017,2017,35-44 years,35-44,Female,F,American Indian or Alaska Native,1002-5,567,301182
,2017,2017,35-44 years,35-44,Female,F,Asian or Pacific Islander,A-PI,881,1757097
,2017,2017,35-44 years,35-44,Female,F,Black or African American,2054-5,6100,3055368
,2017,2017,35-44 years,35-44,Female,F,White,2106-3,21456,15392623
Total,2017,2017,35-44 years,35-44,Female,F,,,29004,20506270
,2017,2017,35-44 years,35-44,Male,M,American Indian or Alaska Native,1002-5,934,314647
,2017,2017,35-44 years,35-44,Male,M,Asian or Pacific Islander,A-PI,1431,1559482
,2017,2017,35-44 years,35-44,Male,M,Black or African American,2054-5,9894,2743658
,2017,2017,35-44 years,35-44,Male,M,White,2106-3,38533,15751313
Total,2017,2017,35-44 years,35-44,Male,M,,,50792,20369100
Total,2017,2017,35-44 years,35-44,,,,,79796,40875370
,2017,2017,45-54 years,45-54,Female,F,American Indian or Alaska Native,1002-5,971,277424
,2017,2017,45-54 years,45-54,Female,F,Asian or Pacific Islander,A-PI,1945,1507028
,2017,2017,45-54 years,45-54,Female,F,Black or African American,2054-5,13209,3016004
,2017,2017,45-54 years,45-54,Female,F,White,2106-3,50213,16668139
Total,2017,2017,45-54 years,45-54,Female,F,,,66338,21468595
,2017,2017,45-54 years,45-54,Male,M,American Indian or Alaska Native,1002-5,1486,277853
,2017,2017,45-54 years,45-54,Male,M,Asian or Pacific Islander,A-PI,2879,1325041
,2017,2017,45-54 years,45-54,Male,M,Black or African American,2054-5,18462,2660679
,2017,2017,45-54 years,45-54,Male,M,White,2106-3,80977,16642784
Total,2017,2017,45-54 years,45-54,Male,M,,,103804,20906357
Total,2017,2017,45-54 years,45-54,,,,,170142,42374952
,2017,2017,55-64 years,55-64,Female,F,American Indian or Alaska Native,1002-5,1549,242608
,2017,2017,55-64 years,55-64,Female,F,Asian or Pacific Islander,A-PI,3555,1224600
,2017,2017,55-64 years,55-64,Female,F,Black or African American,2054-5,27245,2777624
,2017,2017,55-64 years,55-64,Female,F,White,2106-3,114322,17493023
Total,2017,2017,55-64 years,55-64,Female,F,,,146671,21737855
,2017,2017,55-64 years,55-64,Male,M,American Indian or Alaska Native,1002-5,2205,224532
,2017,2017,55-64 years,55-64,Male,M,Asian or Pacific Islander,A-PI,5173,1025701
,2017,2017,55-64 years,55-64,Male,M,Black or African American,2054-5,38123,2341639
,2017,2017,55-64 years,55-64,Male,M,White,2106-3,179834,16665931
Total,2017,2017,55-64 years,55-64,Male,M,,,225335,20257803
Total,2017,2017,55-64 years,55-64,,,,,372006,41995658
,2017,2017,65-74 years,65-74,Female,F,American Indian or Alaska Native,1002-5,1738,137585
,2017,2017,65-74 years,65-74,Female,F,Asian or Pacific Islander,A-PI,5649,819417
,2017,2017,65-74 years,65-74,Female,F,Black or African American,2054-5,31934,1709818
,2017,2017,65-74 years,65-74,Female,F,White,2106-3,188358,13139486
Total,2017,2017,65-74 years,65-74,Female,F,,,227679,15806306
,2017,2017,65-74 years,65-74,Male,M,American Indian or Alaska Native,1002-5,2196,121253
,2017,2017,65-74 years,65-74,Male,M,Asian or Pacific Islander,A-PI,7502,653648
,2017,2017,65-74 years,65-74,Male,M,Black or African American,2054-5,39950,1289007
,2017,2017,65-74 years,65-74,Male,M,White,2106-3,254283,11813232
Total,2017,2017,65-74 years,65-74,Male,M,,,303931,13877140
Total,2017,2017,65-74 years,65-74,,,,,531610,29683446
,2017,2017,75-84 years,75-84,Female,F,American Indian or Alaska Native,1002-5,1845,58651
,2017,2017,75-84 years,75-84,Female,F,Asian or Pacific Islander,A-PI,8582,390555
,2017,2017,75-84 years,75-84,Female,F,Black or African American,2054-5,34715,814516
,2017,2017,75-84 years,75-84,Female,F,White,2106-3,275946,7034954
Total,2017,2017,75-84 years,75-84,Female,F,,,321088,8298676
,2017,2017,75-84 years,75-84,Male,M,American Indian or Alaska Native,1002-5,1850,45396
,2017,2017,75-84 years,75-84,Male,M,Asian or Pacific Islander,A-PI,9259,301045
,2017,2017,75-84 years,75-84,Male,M,Black or African American,2054-5,31182,511629
,2017,2017,75-84 years,75-84,Male,M,White,2106-3,294380,5549805
Total,2017,2017,75-84 years,75-84,Male,M,,,336671,6407875
Total,2017,2017,75-84 years,75-84,,,,,657759,14706551
,2017,2017,85+ years,85+,Female,F,American Indian or Alaska Native,1002-5,1611,22588
,2017,2017,85+ years,85+,Female,F,Asian or Pacific Islander,A-PI,13984,172121
,2017,2017,85+ years,85+,Female,F,Black or African American,2054-5,40665,356668
,2017,2017,85+ years,85+,Female,F,White,2106-3,486909,3637636
Total,2017,2017,85+ years,85+,Female,F,,,543169,4189013
,2017,2017,85+ years,85+,Male,M,American Indian or Alaska Native,1002-5,1003,12970
,2017,2017,85+ years,85+,Male,M,Asian or Pacific Islander,A-PI,9252,100678
,2017,2017,85+ years,85+,Male,M,Black or African American,2054-5,19749,153683
,2017,2017,85+ years,85+,Male,M,White,2106-3,304862,2012338
Total,2017,2017,85+ years,85+,Male,M,,,334866,2279669
Total,2017,2017,85+ years,85+,,,,,878035,6468682
,2017,2017,Not Stated,NS,Female,F,Black or African American,2054-5,7,Not Applicable
,2017,2017,Not Stated,NS,Female,F,White,2106-3,31,Not Applicable
Total,2017,2017,Not Stated,NS,Female,F,,,38,Not Applicable
,2017,2017,Not Stated,NS,Male,M,Black or African American,2054-5,14,Not Applicable
,2017,2017,Not Stated,NS,Male,M,White,2106-3,77,Not Applicable
Total,2017,2017,Not Stated,NS,Male,M,,,91,Not Applicable
Total,2017,2017,Not Stated,NS,,,,,129,Not Applicable
Total,2017,2017,,,,,,,2813503,325719178
Total,,,,,,,,,47728569,5761465567
